r1,r2,score,decision
Dzmitry Bahdanau,Yoshua Bengio,2.1692200357627867,ACCEPTED
Kyunghyun Cho,Yoshua Bengio,2.1692200357627867,ACCEPTED
Kyunghyun Cho,Dzmitry Bahdanau,2.1692200357627867,ACCEPTED
R. Monga,Kyunghyun Cho,1.7723919018268584,ACCEPTED
R. Monga,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
R. Monga,Yoshua Bengio,1.7723919018268584,ACCEPTED
M. Wicke,Kyunghyun Cho,1.7723919018268584,ACCEPTED
Martín Abadi,Kyunghyun Cho,1.7723919018268584,ACCEPTED
Martín Abadi,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
Martín Abadi,Yoshua Bengio,1.7723919018268584,ACCEPTED
J. Levenberg,Kyunghyun Cho,1.7723919018268584,ACCEPTED
J. Levenberg,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
J. Levenberg,Yoshua Bengio,1.7723919018268584,ACCEPTED
M. Isard,Yoshua Bengio,1.7723919018268584,ACCEPTED
M. Kudlur,Yoshua Bengio,1.7723919018268584,ACCEPTED
M. Kudlur,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
Sherry Moore,Kyunghyun Cho,1.7723919018268584,ACCEPTED
Sherry Moore,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
Sherry Moore,Yoshua Bengio,1.7723919018268584,ACCEPTED
M. Isard,Kyunghyun Cho,1.7723919018268584,ACCEPTED
M. Isard,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
G. Irving,Kyunghyun Cho,1.7723919018268584,ACCEPTED
G. Irving,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
G. Irving,Yoshua Bengio,1.7723919018268584,ACCEPTED
S. Ghemawat,Kyunghyun Cho,1.7723919018268584,ACCEPTED
S. Ghemawat,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
S. Ghemawat,Yoshua Bengio,1.7723919018268584,ACCEPTED
D. Murray,Kyunghyun Cho,1.7723919018268584,ACCEPTED
D. Murray,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
D. Murray,Yoshua Bengio,1.7723919018268584,ACCEPTED
M. Kudlur,Kyunghyun Cho,1.7723919018268584,ACCEPTED
Benoit Steiner,Kyunghyun Cho,1.7723919018268584,ACCEPTED
M. Devin,Kyunghyun Cho,1.7723919018268584,ACCEPTED
M. Devin,Yoshua Bengio,1.7723919018268584,ACCEPTED
M. Devin,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
J. Dean,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
J. Dean,Yoshua Bengio,1.7723919018268584,ACCEPTED
P. Barham,Yoshua Bengio,1.7723919018268584,ACCEPTED
J. Dean,Kyunghyun Cho,1.7723919018268584,ACCEPTED
Andy Davis,Yoshua Bengio,1.7723919018268584,ACCEPTED
Andy Davis,Kyunghyun Cho,1.7723919018268584,ACCEPTED
Z. Chen,Kyunghyun Cho,1.7723919018268584,ACCEPTED
Z. Chen,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
Z. Chen,Yoshua Bengio,1.7723919018268584,ACCEPTED
Benoit Steiner,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
Benoit Steiner,Yoshua Bengio,1.7723919018268584,ACCEPTED
Andy Davis,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
P. Tucker,Kyunghyun Cho,1.7723919018268584,ACCEPTED
P. Tucker,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
P. Barham,Kyunghyun Cho,1.7723919018268584,ACCEPTED
P. Tucker,Yoshua Bengio,1.7723919018268584,ACCEPTED
P. Barham,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
M. Wicke,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
M. Wicke,Yoshua Bengio,1.7723919018268584,ACCEPTED
Yuan Yu,Kyunghyun Cho,1.7723919018268584,ACCEPTED
Yuan Yu,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
Yuan Yu,Yoshua Bengio,1.7723919018268584,ACCEPTED
Vijay Vasudevan,Kyunghyun Cho,1.7723919018268584,ACCEPTED
Vijay Vasudevan,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
Vijay Vasudevan,Yoshua Bengio,1.7723919018268584,ACCEPTED
Pete Warden,Kyunghyun Cho,1.7723919018268584,ACCEPTED
Pete Warden,Dzmitry Bahdanau,1.7723919018268584,ACCEPTED
Pete Warden,Yoshua Bengio,1.7723919018268584,ACCEPTED
I. Goodfellow,Yoshua Bengio,1.6263600357627865,ACCEPTED
I. Goodfellow,Dzmitry Bahdanau,1.6263600357627865,ACCEPTED
I. Goodfellow,Kyunghyun Cho,1.6263600357627865,ACCEPTED
L. Bottou,Yoshua Bengio,1.4895550357627865,ACCEPTED
L. Bottou,Dzmitry Bahdanau,1.4895550357627865,ACCEPTED
